Natureza,Mes,Ano,Regiao,Ocorrencias
HOMICÍDIO CULPOSO POR ACIDENTE DE TRÂNSITO,Dez,2020,Araçatuba,8
HOMICÍDIO CULPOSO OUTROS,Jan,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Fev,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Mar,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Abr,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Mai,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Jun,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Jul,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Ago,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Set,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Out,2020,Araçatuba,1
HOMICÍDIO CULPOSO OUTROS,Nov,2020,Araçatuba,0
HOMICÍDIO CULPOSO OUTROS,Dez,2020,Araçatuba,0
TENTATIVA DE HOMICÍDIO,Jan,2020,Araçatuba,19
TENTATIVA DE HOMICÍDIO,Fev,2020,Araçatuba,19
TENTATIVA DE HOMICÍDIO,Mar,2020,Araçatuba,10
